PAGOS,MONTO,COMUNA,REGION,URBANIDAD,FPAGO,TIPOBENEFICIO,COBROMARZO,SEXO,ECIVIL,NACIONALIDAD,NOCOBRO
1,5158,307,6,2,3,14,0,2,1,0,0
1,8651,62,2,2,3,16,0,2,1,0,0
1,8435,249,11,2,3,16,0,2,1,0,0
1,5158,230,9,2,3,14,0,2,1,0,1
1,5158,128,11,2,3,14,1,2,1,0,0
1,8423,115,11,2,3,16,0,2,1,0,0
1,7856,300,11,2,3,16,0,1,1,0,0
1,7806,336,11,2,3,16,0,1,1,0,0
1,7856,285,11,2,3,16,0,1,1,0,1
1,7756,74,10,2,3,16,0,1,5,0,0
1,7856,220,11,2,3,16,0,1,1,0,1
1,8592,220,11,2,3,16,0,1,5,0,0
1,8589,333,15,1,5,16,0,1,1,0,0
1,7806,285,11,2,3,16,0,2,1,0,1
1,7800,249,11,2,3,16,0,1,1,0,0
4,9038,336,11,2,3,16,0,1,1,0,0
1,5158,336,11,2,3,14,0,2,5,0,1
1,7077,336,11,2,3,16,1,1,1,0,0
1,7856,321,14,2,3,16,0,2,1,0,0
1,5136,285,11,2,3,14,0,1,1,0,0
1,5144,128,11,2,3,16,0,1,1,0,0
1,7033,300,11,2,3,16,0,2,1,0,0
1,5002,146,14,2,3,16,0,1,1,0,0
1,7806,319,8,2,3,16,0,1,1,0,0
1,5158,66,3,2,3,14,0,1,5,0,0
1,2952,330,14,2,1,16,0,1,1,0,0
1,7799,300,11,2,3,16,0,1,1,0,0
1,5158,120,11,2,3,14,0,1,5,0,0
1,7844,270,14,2,1,16,0,1,5,0,0
1,8715,220,11,2,1,16,0,2,1,0,0
1,5136,11,1,2,3,14,0,2,5,0,1
1,492,321,14,2,3,16,0,1,1,0,1
1,8206,115,11,2,1,16,0,1,1,0,0
1,5158,258,12,2,3,14,0,2,5,0,0
1,5483,271,11,2,3,16,0,2,3,0,1
3,8299,180,7,2,3,16,0,1,1,0,1
1,5158,106,11,2,3,14,1,1,5,0,0
1,7956,330,14,2,1,16,0,1,5,0,1
1,7806,300,11,2,3,16,0,1,3,0,0
1,7806,285,11,2,3,16,0,1,1,0,1
1,6850,271,11,2,3,16,0,1,1,0,1
1,5483,336,11,2,1,16,0,1,1,0,0
1,8351,220,11,2,1,16,0,2,1,0,0
1,5063,285,11,2,3,16,0,1,1,0,1
1,9075,128,11,2,3,16,0,1,1,0,0
1,5136,300,11,2,3,14,1,1,5,0,0
1,8941,300,11,2,3,16,0,2,1,0,0
1,9045,252,12,2,3,16,0,2,1,0,0
1,7038,292,11,2,1,16,0,1,1,0,0
1,8976,100,4,2,3,16,0,2,1,0,0
1,7856,193,10,1,3,16,0,2,3,0,0
2,8683,106,11,2,3,16,0,1,1,0,0
1,5158,146,14,2,3,14,0,1,1,0,1
1,7800,128,11,2,3,16,0,1,5,0,1
1,3729,252,12,2,3,7,1,1,1,0,0
1,335,181,5,2,1,17,1,1,1,0,1
1,7940,30,4,1,3,16,0,2,1,0,0
1,7800,280,10,2,3,16,0,1,1,0,0
1,7856,74,10,2,3,16,0,2,1,0,0
1,7806,41,12,1,3,16,0,2,1,0,1
1,5136,116,11,2,3,14,0,1,1,0,0
1,7806,336,11,2,3,16,0,1,5,0,0
1,5334,330,14,2,3,16,0,2,5,0,0
1,7806,16,0,2,3,16,0,1,5,0,0
1,8124,336,11,2,1,16,1,1,1,0,1
1,4185,316,6,1,3,16,1,1,1,0,1
1,5136,73,10,0,5,14,1,2,5,0,0
1,1718,200,12,1,1,17,1,2,1,0,1
1,8814,276,14,2,1,16,0,1,5,0,1
1,5158,11,1,2,3,14,0,1,5,0,1
1,5158,45,7,0,4,14,0,2,1,0,0
1,7806,272,15,2,3,16,1,2,1,0,0
1,5136,99,10,0,4,14,0,2,5,0,0
1,5738,300,11,2,3,16,0,1,5,0,1
1,5057,78,11,2,3,16,0,1,1,0,1
1,8375,285,11,2,3,16,0,1,1,0,1
1,8053,59,11,2,3,16,0,1,5,0,1
1,2736,216,11,2,1,17,0,1,1,0,1
1,5483,128,11,2,1,16,0,2,1,1,1
1,318,186,11,2,1,17,1,2,1,0,1
1,9062,39,15,2,1,16,0,2,1,0,1
1,5136,300,11,2,3,14,0,1,5,0,1
1,1977,128,11,2,1,16,1,1,1,0,0
1,8191,216,11,2,3,16,0,1,1,0,1
1,5002,252,12,2,3,16,0,1,1,0,1
1,7806,121,5,2,3,16,1,1,5,0,0
2,8186,133,14,2,3,16,1,1,1,0,0
1,8085,304,10,2,3,16,0,1,5,0,1
1,8997,285,11,2,1,16,0,2,1,0,1
1,5476,74,10,2,3,16,0,1,1,0,0
1,5188,192,12,0,3,3,0,2,1,0,0
1,7805,107,13,2,3,16,0,1,5,0,1
1,7800,32,11,2,3,16,0,1,1,0,1
1,7856,300,11,2,3,16,0,1,1,0,1
1,7773,155,11,2,1,16,0,1,1,0,0
1,8990,128,11,2,3,16,1,1,5,0,0
1,8995,336,11,2,1,16,0,2,1,0,0
1,7806,300,11,2,3,16,0,1,5,0,0
1,4516,249,11,2,3,16,0,1,1,0,0
1,4483,128,11,2,1,1,0,2,1,0,1
1,5665,106,11,2,3,14,0,1,1,0,1
1,5055,336,11,2,1,16,0,1,1,0,0
1,4991,116,11,2,1,16,1,1,1,0,1
1,4817,336,11,2,3,16,0,1,5,0,0
1,7806,249,11,2,3,16,0,1,1,0,0
1,8303,106,11,2,3,16,0,1,1,0,0
1,7575,128,11,2,3,16,0,1,1,0,0
1,7856,300,11,2,3,16,0,1,1,0,0
1,5735,304,10,2,3,16,1,1,1,0,0
1,5476,321,14,2,3,16,0,1,1,0,1
2,7645,58,4,2,3,16,0,1,1,0,1
1,5063,120,11,2,1,16,0,2,1,0,1
1,5158,23,5,0,4,14,0,2,1,0,0
1,7806,181,5,2,3,16,0,2,1,0,0
1,5158,327,14,2,3,14,0,1,5,0,0
1,7800,121,5,2,3,16,0,1,1,0,0
1,5136,176,14,1,3,14,0,1,1,0,0
1,5158,300,11,2,3,14,0,1,1,0,0
1,8707,58,4,2,3,16,0,1,5,0,0
1,5158,315,4,2,3,14,0,1,5,0,0
1,7852,259,12,1,5,16,0,1,1,0,0
1,5136,304,10,2,3,14,0,1,1,0,0
1,5158,315,4,2,3,14,0,1,1,0,0
1,4662,323,6,1,3,16,0,1,5,0,0
1,7806,271,11,2,3,16,0,1,5,0,0
1,6595,58,4,2,3,16,0,2,1,0,1
1,5158,245,14,2,3,14,0,1,5,0,0
2,8196,300,11,2,3,16,0,1,1,0,1
1,997,31,11,2,3,7,0,1,1,0,1
1,7356,128,11,2,1,16,0,1,1,0,0
1,5707,330,14,2,3,16,0,2,1,0,1
1,4859,58,4,2,3,16,0,1,1,1,0
1,5063,249,11,2,3,16,0,1,5,0,1
1,4597,216,11,2,3,16,1,1,5,0,0
1,5136,181,5,2,3,14,0,2,1,0,0
1,4354,281,11,2,1,16,0,1,1,0,0
1,8293,300,11,2,3,16,0,1,1,0,1
1,8958,39,15,2,1,16,0,1,1,0,0
1,5745,216,11,2,3,16,0,1,5,0,0
1,4325,300,11,2,0,16,0,1,5,0,1
1,8446,85,11,2,1,16,1,1,1,0,0
1,7856,106,11,2,3,16,0,1,5,0,0
1,503,39,15,2,1,17,1,1,1,0,1
1,4842,85,11,2,3,16,0,1,1,0,1
1,5392,330,14,2,3,14,0,1,1,0,1
1,318,86,4,0,1,17,0,1,1,0,1
1,9068,107,13,2,1,16,0,2,1,0,0
1,4189,140,11,2,3,16,1,1,5,0,0
1,7984,106,11,2,3,16,1,2,5,0,0
1,8100,58,4,2,0,16,0,1,1,0,1
1,8369,181,5,2,3,16,0,2,1,0,1
1,7806,115,11,2,1,16,0,2,1,0,0
1,3681,128,11,2,1,16,0,1,1,0,0
1,5136,58,4,2,3,14,0,1,1,0,0
1,178,277,12,2,1,17,0,2,1,0,1
1,7015,255,11,2,3,16,1,1,1,0,0
1,7806,16,0,2,3,16,0,2,5,0,0
1,7992,39,15,2,3,16,0,2,1,0,0
1,4993,230,9,2,3,16,0,1,1,0,1
1,5483,300,11,2,3,16,0,1,5,0,1
1,6417,11,1,2,3,16,1,1,1,0,1
1,5158,307,6,2,3,14,0,2,5,0,0
1,7252,230,9,2,1,16,0,2,1,0,0
1,8119,121,5,2,3,16,0,2,1,0,0
1,5136,223,7,2,3,14,0,1,1,0,0
1,8519,85,11,2,1,16,0,2,1,0,0
1,7708,294,12,1,3,16,0,1,1,0,0
1,4982,128,11,2,1,16,0,1,1,0,0
1,8711,300,11,2,3,16,0,1,5,0,0
2,8305,321,14,2,3,16,0,1,1,0,0
1,8615,327,14,2,1,16,0,1,1,0,0
1,9126,63,5,2,1,16,0,2,5,0,0
1,7945,300,11,2,3,16,0,2,1,0,0
